Long Station Name,Collection Date,EC,Alkalinity,Sacramento X2,WYT,Location,Area
Contra Costa PP Number 01,4/2/2007,255,66,72.02877378,D,OMR,Interior
Middle River @ Union Point - P10A,7/2/2007,303,66,80.94470218,D,OMR,Interior
Middle River @ Union Point - P10A,4/2/2007,318,66,72.02877378,D,OMR,Interior
Contra Costa PP Number 01,3/13/1995,322,66,37.53111646,W,OMR,Interior
Middle River @ Union Point - P10A,9/9/2009,345,66,84.37552482,D,OMR,Interior
Middle River @ Union Point - P10A,11/3/2009,352,66,88.3635176,C,OMR,Interior
Middle River @ Union Point - P10A,9/5/2007,364,66,85.25541551,D,OMR,Interior
Middle River @ Union Point - P10A,12/7/2016,398,66,83.68530205,BN,OMR,Interior
Middle River @ Union Point - P10A,6/4/2007,399,66,80.25338455,D,OMR,Interior
Middle River @ Union Point - P10A,10/11/2018,407,66,#N/A,W,OMR,Interior
Contra Costa PP Number 01,2/6/2007,456,66,79.89948567,D,OMR,Interior
Middle River at Bacon Island Bridge,9/24/1992,458,66,92.85385013,C,OMR,Interior
Old River near Rock Slough,8/18/1959,937,66,93.54824528,BN,OMR,Interior
Rock Slough @ Old River,1/24/1990,962,66,79.66720736,C,OMR,Interior
Contra Costa PP Number 01,7/2/2007,264,65,80.94470218,D,OMR,Interior
Contra Costa PP Number 01,9/2/1997,269,65,77.2650624,W,OMR,Interior
Contra Costa PP Number 01,1/10/1996,303,65,68.97868863,W,OMR,Interior
Middle River @ Union Point - P10A,8/5/2008,304,65,88.35573476,C,OMR,Interior
Contra Costa PP Number 01,6/8/2004,308,65,86.24729429,BN,OMR,Interior
Middle River @ Union Point - P10A,4/7/2016,328,65,66.37589317,BN,OMR,Interior
Middle River @ Union Point - P10A,10/4/2016,387,65,86.5637221,C,OMR,Interior
Contra Costa PP Number 01,10/20/1993,458,65,84.89979461,C,OMR,Interior
Contra Costa PP Number 01,12/5/2006,461,65,88.65054031,W,OMR,Interior
Clifton Court Intake,4/24/1990,532,65,86.79032173,C,OMR,Interior
Old River South of Rock Slough (St 5A),12/17/1985,605,65,77.70271234,D,OMR,Interior
Rock Slough @ Old River,10/23/1991,637,65,94.27657666,C,OMR,Interior
Old River North of Rock Slough (St 4b),10/23/1991,665,65,94.27657666,C,OMR,Interior
Clifton Court Intake,11/21/1991,688,65,93.42904814,C,OMR,Interior
Rock Slough @ Old River,4/25/1990,864,65,87.22990049,C,OMR,Interior
Contra Costa PP Number 01,7/22/1992,905,65,92.3938467,C,OMR,Interior
Old River North of Rock Slough (St 4b),4/25/1990,905,65,87.22990049,C,OMR,Interior
Contra Costa PP Number 01,4/10/1997,272,64,73.77999403,W,OMR,Interior
Contra Costa PP Number 01,6/4/2003,293,64,66.71648137,AN,OMR,Interior
Contra Costa PP Number 01,6/4/1997,294,64,78.50514499,W,OMR,Interior
Middle River @ Union Point - P10A,12/1/2009,320,64,92.29828513,D,OMR,Interior
Middle River @ Union Point - P10A,1/8/2018,456,64,84.74492337,BN,OMR,Interior
Contra Costa PP Number 01,8/3/2004,470,64,81.28623188,BN,OMR,Interior
