Long Station Name,Collection Date,EC,K,Sacramento X2,WYT,Location,Area
Middle River at Bacon Island Bridge,4/20/1994,441,2.5,78.884997,C,OMR,Interior
Clifton Court Intake,6/22/1994,450,2.5,89.49535368,C,OMR,Interior
Contra Costa PP Number 01,11/7/1996,495,2.5,84.27562766,W,OMR,Interior
Middle River at Bacon Island Bridge,5/19/1994,499,2.5,76.51544974,C,OMR,Interior
Old River South of Rock Slough (St 5A),3/15/1982,207,2.6,49.23180133,W,OMR,Interior
Old River North of Rock Slough (St 4b),3/11/1992,302,2.6,67.72093556,C,OMR,Interior
Middle River @ Union Point - P10A,4/7/2009,314,2.6,75.36176628,D,OMR,Interior
Old River North of Rock Slough (St 4b),1/12/1994,337,2.6,82.38546939,C,OMR,Interior
Rock Slough @ Old River,1/12/1994,341,2.6,82.38546939,C,OMR,Interior
Middle River at Bacon Island Bridge,1/19/1994,356,2.6,80.49647088,C,OMR,Interior
Clifton Court Intake,1/19/1994,367,2.6,80.49647088,C,OMR,Interior
Contra Costa PP Number 01,2/9/1994,388,2.6,80.94524586,C,OMR,Interior
Old River near Rock Slough,10/1/1959,396,2.6,78.11676896,W,OMR,Interior
Clifton Court Intake,4/8/1993,400,2.6,54.30864006,AN,OMR,Interior
Contra Costa PP Number 01,6/16/1994,407,2.6,86.55672415,C,OMR,Interior
Contra Costa PP Number 01,9/6/2005,418,2.6,83.07162013,AN,OMR,Interior
Middle River @ Union Point - P10A,6/2/2014,436,2.6,93.56618111,C,OMR,Interior
Rock Slough @ Old River,6/22/1994,450,2.6,89.49535368,C,OMR,Interior
Contra Costa PP Number 01,10/20/1993,458,2.6,84.89979461,C,OMR,Interior
Middle River @ Union Point - P10A,2/6/2007,460,2.6,79.89948567,D,OMR,Interior
Contra Costa PP Number 01,8/3/2004,470,2.6,81.28623188,BN,OMR,Interior
Contra Costa PP Number 01,3/7/2005,654,2.6,57.47547175,AN,OMR,Interior
Old River South of Rock Slough (St 5A),1/5/1982,240,2.7,0,W,OMR,Interior
Middle River @ Union Point - P10A,1/3/2011,274,2.7,53.33698971,W,OMR,Interior
Middle River at Bacon Island Bridge,4/23/1991,294,2.7,85.01362795,C,OMR,Interior
Middle River at Bacon Island Bridge,10/14/1993,295,2.7,84.61138109,C,OMR,Interior
Rock Slough @ Old River,3/11/1992,318,2.7,67.72093556,C,OMR,Interior
Middle River @ Union Point - P10A,11/5/2018,362,2.7,#N/A,W,OMR,Interior
Middle River at Bacon Island Bridge,10/23/1991,365,2.7,94.27657666,C,OMR,Interior
Contra Costa PP Number 01,6/2/2008,366,2.7,81.73068377,C,OMR,Interior
Clifton Court Intake,3/20/1990,404,2.7,85.09103604,C,OMR,Interior
Middle River at Bacon Island Bridge,9/22/1994,407,2.7,90.04354307,C,OMR,Interior
