Long Station Name,Collection Date,EC,SO4,Sacramento X2,WYT,Location,Area
Clifton Court Intake,9/24/1990,504,26,90.82305445,C,OMR,Interior
Clifton Court Intake,12/15/1993,490,26,84.34978841,AN,OMR,Interior
Middle River at Bacon Island Bridge,6/28/1991,451,26,91.92518677,C,OMR,Interior
Clifton Court Intake,10/20/1994,451,26,92.73586707,AN,OMR,Interior
Rock Slough @ Old River,2/17/1994,370,26,75.37363149,C,OMR,Interior
Middle River at Bacon Island Bridge,4/22/1992,335,26,77.19407905,C,OMR,Interior
Middle River @ Union Point - P10A,7/1/2008,318,26,84.87243383,C,OMR,Interior
Middle River @ Union Point - P10A,8/2/2006,261,26,78.28975195,W,OMR,Interior
Contra Costa PP Number 01,7/8/1998,233,26,56.61660003,W,OMR,Interior
Rock Slough @ Old River,10/20/1994,636,25,92.73586707,AN,OMR,Interior
Middle River @ Union Point - P10A,10/5/2015,616,25,94.93479848,C,OMR,Interior
Middle River @ Union Point - P10A,11/3/2014,613,25,92.39401068,D,OMR,Interior
Old River North of Rock Slough (St 4b),8/21/1991,551,25,88.57096592,C,OMR,Interior
Old River near Rock Slough,9/15/1959,509,25,84.58759953,BN,OMR,Interior
Middle River @ Union Point - P10A,12/2/2013,507,25,93.39492499,D,OMR,Interior
Middle River at Bacon Island Bridge,8/19/1992,484,25,92.0935494,C,OMR,Interior
Middle River @ Union Point - P10A,11/4/2013,463,25,90.34617646,BN,OMR,Interior
Contra Costa PP Number 01,12/5/2006,461,25,88.65054031,W,OMR,Interior
Contra Costa PP Number 01,10/20/1993,458,25,84.89979461,C,OMR,Interior
Middle River at Bacon Island Bridge,9/24/1992,458,25,92.85385013,C,OMR,Interior
Contra Costa PP Number 01,2/6/2007,456,25,79.89948567,D,OMR,Interior
Middle River @ Union Point - P10A,3/10/2016,321,25,62.66343249,BN,OMR,Interior
Middle River @ Union Point - P10A,6/7/2016,319,25,82.94141541,BN,OMR,Interior
Contra Costa PP Number 01,3/5/2007,315,25,58.91442023,D,OMR,Interior
Middle River at Bacon Island Bridge,3/26/1992,290,25,68.43776556,C,OMR,Interior
Contra Costa PP Number 01,4/21/1993,265,25,62.38347365,AN,OMR,Interior
